,PMID,LastName,ForeName,Initials,Affiliation
1997,2020,['Durbin'],['R P'],['RP'],
1998,2021,"['Gardos', 'Cole']","['G', 'J O']","['G', 'JO']",
1999,2022,"['Glenn', 'Goldman']","['J K', 'J']","['JK', 'J']",
2000,2023,"['Berkmen', 'Lande']","['Y M', 'A']","['YM', 'A']",
2001,2024,"['DeMeester', 'Johnson']","['T R', 'L F']","['TR', 'LF']",
2002,2025,['Veshohilova'],['T P'],['TP'],
2003,2026,['Poliak'],['S Sh'],['SSh'],
2004,2027,"['Wernze', 'Hilfenhaus', 'Rietbrock', 'Schüttke', 'Kühn']","['H', 'M', 'I', 'R', 'K']","['H', 'M', 'I', 'R', 'K']",
2005,2028,"['Behnke', 'Dagher', 'Massey', 'Deal']","['J N', 'S M', 'T H', 'W C']","['JN', 'SM', 'TH', 'WC']",
2006,2029,"['Kimmich', 'Randles', 'Brand']","['G A', 'J', 'J S']","['GA', 'J', 'JS']",
2007,2030,['Giglio'],['J R'],['JR'],
2008,2031,['Stinson'],['R A'],['RA'],
2009,2032,"['Augustyniak', 'Janowicz', 'Labuda', 'Wower']","['J', 'Z', 'D', 'J']","['J', 'Z', 'D', 'J']",
2010,2033,"['van Assendelft', 'Zijlstra']","['O W', 'W G']","['OW', 'WG']",
2011,2034,"['Predmore', 'Christian']","['D B', 'G D']","['DB', 'GD']",
2012,2036,['Bricot'],['R'],['R'],
2013,2037,"['Murisasco', 'Saingra', 'Di Marino']","['A', 'S', 'V']","['A', 'S', 'V']",
2014,2035,['Gravenstein'],['J S'],['JS'],
2015,2038,"['Kiegel', 'Quilichini', 'Dubouloz', 'Gouin', 'Francois']","['P', 'F', 'F', 'F', 'G']","['P', 'F', 'F', 'F', 'G']",
2016,2039,['Argeme'],['M'],['M'],
2017,2040,"['Gouin', 'Tournigand', 'Moisan', 'Vison']","['F', 'T', 'D', 'M F']","['F', 'T', 'D', 'MF']",
